% start	end	CellId	TxBytes	RxBytes
0	1	5	64012	63480
0	1	2	44124	38923
0	1	4	46390	42166
0	1	2	40914	39060
0	1	1	97190	97190
0	1	4	44847	37206
0	1	1	30409	29975
0	1	4	52259	49086
0	1	2	25321	24900
0	1	4	68372	63547
0	1	1	82003	82003
0	1	1	36951	36642
0	1	2	19671	19671
0	1	1	31086	31086
0	1	4	67452	53719
0	1	2	53202	52893
0	1	1	28623	28623
0	1	2	63833	56189
0	1	1	39968	39547
0	1	4	62151	54507
0	1	2	31059	30132
0	1	1	34104	34104
0	1	1	36306	36306
0	1	5	65716	63468
0	1	1	56632	56632
0	1	5	63727	62137
0	1	4	88279	81164
0	1	4	27358	26872
0	1	2	54535	52212
0	1	1	68729	68729
1	2	5	105800	105800
1	2	2	35836	35836
1	2	4	36817	36508
1	2	2	51780	51183
1	2	1	103469	103469
1	2	4	32421	32421
1	2	1	19747	19747
1	2	4	53046	53046
1	2	2	52225	52646
1	2	4	74612	75209
1	2	1	74118	74118
1	2	1	25871	26180
1	2	2	98425	97650
1	2	1	20226	20226
1	2	4	60970	60970
1	2	2	35535	35844
1	2	1	21762	21762
1	2	2	51783	51783
1	2	1	31019	31440
1	2	4	53046	52625
1	2	2	40802	40802
1	2	1	29046	29046
1	2	1	23182	22873
1	2	5	105800	105800
1	2	1	49076	49076
1	2	5	105800	105800
1	2	4	99975	100750
1	2	4	41421	41421
1	2	2	90667	89892
1	2	1	62087	61490
2	3	5	105800	105800
2	3	2	37126	36817
2	3	4	43516	43404
2	3	2	56117	56117
2	3	1	97780	97780
2	3	4	25645	25336
2	3	1	19964	19747
2	3	4	52625	52204
2	3	2	56380	56380
2	3	4	71217	71217
2	3	1	65144	64369
2	3	1	22998	22689
2	3	2	99200	99975
2	3	1	22873	22873
2	3	4	60544	60544
2	3	2	36153	36153
2	3	1	19681	19681
2	3	2	52204	52204
2	3	1	33039	33039
2	3	4	52202	52623
2	3	2	44086	43617
2	3	1	29046	29046
2	3	1	20068	20377
2	3	5	105684	104719
2	3	1	61020	61020
2	3	5	106079	106854
2	3	4	99968	99968
2	3	4	42634	42634
2	3	2	93964	94142
2	3	1	63772	64369
3	4	5	105798	105798
3	4	2	29422	29731
3	4	4	47693	48114
3	4	2	53034	52128
3	4	1	96735	96735
3	4	5	33692	33117
3	4	1	19639	19639
3	4	4	55992	56413
3	4	2	58002	58002
3	4	4	70625	70625
3	4	1	72316	73091
3	4	1	23524	23833
3	4	2	103850	103075
3	4	1	23524	23524
3	4	4	56253	56253
3	4	2	37389	37389
3	4	1	19529	19095
3	4	2	54308	54308
3	4	1	29961	29961
3	4	4	56414	55993
3	4	2	43697	44166
3	4	1	28428	28119
3	4	1	19311	19311
3	4	5	105600	106656
3	4	1	60297	60297
3	4	5	105798	105798
3	4	4	106950	106950
3	4	4	42911	42602
3	4	2	79557	80154
3	4	1	67321	67321
4	5	5	105800	105800
4	5	2	23653	23653
4	5	4	42753	42753
4	5	2	34608	34608
4	5	1	111383	110608
4	5	5	63125	62425
4	5	4	14626	14143
4	5	4	45047	45047
4	5	2	50098	50098
4	5	4	52059	52059
4	5	1	86647	86050
4	5	2	10662	10121
4	5	2	95324	96099
4	5	1	30135	30135
4	5	4	45468	45468
4	5	2	34607	34607
4	5	4	14484	14169
4	5	2	50520	50099
4	5	1	38625	38625
4	5	4	45047	45468
4	5	2	34608	34608
4	5	1	38625	38934
4	5	4	20188	19838
4	5	5	105724	105724
4	5	1	82385	82385
4	5	5	105800	105800
4	5	4	86024	86024
4	5	4	31209	31209
4	5	2	77358	77358
4	5	1	82386	82386
5	6	5	105800	105800
5	6	2	32315	32315
5	6	4	43363	43363
5	6	2	34608	34917
5	6	1	106114	106889
5	6	5	86800	86583
5	6	4	12369	11970
5	6	4	43784	43784
5	6	2	50520	50520
5	6	4	50183	50183
5	6	1	85371	85968
5	6	1	12086	11438
5	6	2	96100	96100
5	6	1	32704	32704
5	6	4	43363	43363
5	6	2	34917	34608
5	6	4	12236	11970
5	6	2	50520	50520
5	6	1	40479	40170
5	6	4	45068	45068
5	6	2	30519	30519
5	6	1	40169	40169
5	6	4	16791	16791
5	6	5	105800	105800
5	6	1	85967	85370
5	6	5	105800	105800
5	6	4	82925	82150
5	6	4	29973	29973
5	6	2	96099	96099
5	6	1	85967	85967
6	7	5	105800	105800
6	7	2	37080	37080
6	7	4	43362	43362
6	7	2	43190	43190
6	7	1	106548	105645
6	7	5	107632	107415
6	7	4	12103	11970
6	7	4	42941	42941
6	7	2	53888	53467
6	7	4	56540	56540
6	7	1	78207	78207
6	7	1	25172	24955
6	7	2	102300	101525
6	7	1	24955	24955
6	7	4	43363	42942
6	7	2	36771	37080
6	7	4	12236	12103
6	7	2	53466	53887
6	7	1	36462	36771
6	7	4	43806	43806
6	7	2	25172	25172
6	7	1	36771	36771
6	7	4	18109	17675
6	7	5	105608	105608
6	7	1	77610	78207
6	7	5	105800	105800
6	7	4	82150	82150
6	7	4	29664	29973
6	7	2	102300	102300
6	7	1	84207	84207
7	8	5	105800	105800
7	8	2	25066	25066
7	8	4	42521	42521
7	8	2	52625	52625
7	8	1	105052	105955
7	8	5	107415	107415
7	8	4	12524	12258
7	8	4	43784	43784
7	8	2	54618	55039
7	8	4	59869	59400
7	8	1	79998	79998
7	8	1	25823	25823
7	8	2	97649	98424
7	8	2	22280	21982
7	8	4	43362	43783
7	8	2	36462	36153
7	8	4	12389	12389
7	8	2	52625	52625
7	8	1	38007	37698
7	8	4	43784	43784
7	8	2	24955	24738
7	8	1	37698	37698
7	8	4	20398	20398
7	8	5	105610	105610
7	8	1	80594	80594
7	8	5	105800	105800
7	8	4	82925	83700
7	8	4	29973	29973
7	8	2	107683	107683
7	8	1	84856	84856
8	9	5	105800	105800
8	9	2	22785	22785
8	9	4	35224	35224
8	9	2	48415	48415
8	9	1	105814	105814
8	9	5	103726	103726
8	9	1	22353	22136
8	9	4	51783	51362
8	9	2	55342	55342
8	9	4	59094	59563
8	9	1	72235	72235
8	9	1	23002	23219
8	9	2	89859	89859
8	9	2	10896	10896
8	9	4	51783	51783
8	9	2	33371	33371
8	9	1	22274	22274
8	9	2	48415	47994
8	9	1	33681	33990
8	9	4	51360	51360
8	9	2	22568	22568
8	9	1	33990	33681
8	9	4	24304	24304
8	9	5	105644	105644
8	9	1	72236	72236
8	9	5	105800	105800
8	9	4	98424	97649
8	9	4	35535	35535
8	9	2	95418	95418
8	9	1	81975	81975
9	10	5	105800	105800
9	10	2	23436	23219
9	10	4	43889	43468
9	10	2	41578	41578
9	10	1	105800	105800
9	10	5	108500	108283
9	10	1	22568	22351
9	10	4	53045	53466
9	10	2	51214	51214
9	10	4	61439	61439
9	10	1	78823	78048
9	10	1	22568	22568
9	10	2	72645	72048
9	10	2	10063	9716
9	10	4	53046	53046
9	10	2	33990	34299
9	10	1	22568	22351
9	10	2	49256	49677
9	10	1	33062	33062
9	10	4	53467	53046
9	10	2	23436	23436
9	10	1	32753	33062
9	10	4	25172	25172
9	10	5	105600	105600
9	10	1	59565	59565
9	10	5	105800	105800
9	10	4	100750	101525
9	10	4	36770	36770
9	10	2	94550	94550
9	10	1	80045	80045
10	11	5	105800	105800
10	11	2	22351	22568
10	11	4	48834	48834
10	11	2	32754	32754
10	11	1	105535	105535
10	11	5	96999	96348
10	11	1	26908	26691
10	11	4	48836	48836
10	11	2	47573	47573
10	11	4	52521	52521
10	11	1	92048	92823
10	11	2	13988	13371
10	11	2	69250	69847
10	11	2	6156	5751
10	11	4	48835	48835
10	11	2	33063	33063
10	11	4	16847	16364
10	11	2	47994	47573
10	11	1	33617	33617
10	11	4	54648	55069
10	11	2	22351	21917
10	11	1	39552	39552
10	11	4	15085	14952
10	11	5	105706	105706
10	11	1	71931	71931
10	11	5	105800	105800
10	11	4	71210	71210
10	11	4	33681	33681
10	11	2	90675	90675
10	11	1	84177	83580
11	12	5	105800	105800
11	12	2	21700	21700
11	12	4	47994	47994
11	12	2	31827	31827
11	12	1	106581	105806
11	12	5	86800	86366
11	12	1	28644	28861
11	12	4	47994	47994
11	12	2	53322	53322
11	12	4	47994	47994
11	12	1	90146	89549
11	12	2	5913	5751
11	12	2	68057	67460
11	12	2	5832	5913
11	12	4	47994	47994
11	12	2	31518	31518
11	12	4	13566	13566
11	12	2	45889	46310
11	12	1	28861	28861
11	12	4	52877	52877
11	12	2	21700	21700
11	12	1	42024	42024
11	12	4	13564	13564
11	12	5	105800	105800
11	12	1	73039	73039
11	12	5	105800	105800
11	12	4	70445	70445
11	12	4	33063	33063
11	12	2	87575	87575
11	12	1	89548	90145
12	13	5	105800	105800
12	13	2	38271	38271
12	13	4	58098	58519
12	13	2	39552	38934
12	13	1	78301	79076
12	13	5	56420	56637
12	13	1	19964	19964
12	13	4	58097	58097
12	13	2	64087	64087
12	13	4	58146	58146
12	13	1	75030	74852
12	13	1	17614	17614
12	13	2	97894	98491
12	13	1	17707	17409
12	13	4	58098	58098
12	13	2	39664	39664
12	13	1	19095	18962
12	13	2	57676	57255
12	13	1	19964	19964
12	13	4	58567	58146
12	13	5	16915	15193
12	13	1	29046	29046
12	13	1	19068	19068
12	13	5	105786	105786
12	13	1	48774	48774
12	13	5	105800	105800
12	13	4	85370	85370
12	13	4	35464	35247
12	13	2	110050	109275
12	13	1	62088	62088
13	14	5	105800	105800
13	14	2	42024	42024
13	14	4	46109	46109
13	14	2	42023	41714
13	14	1	75950	75950
13	14	5	45570	45136
13	14	1	18879	18879
13	14	4	61466	61466
13	14	2	68094	68094
13	14	4	61466	61045
13	14	1	75950	76725
13	14	1	18879	18662
13	14	2	104488	104488
13	14	1	18662	18662
13	14	4	61465	61465
13	14	2	42333	42024
13	14	1	11830	11697
13	14	2	61045	61466
13	14	1	18879	18879
13	14	4	61045	61466
13	14	5	23052	22462
13	14	1	27809	27809
13	14	1	18879	18879
13	14	5	105790	105790
13	14	1	46431	45962
13	14	5	105800	105800
13	14	4	89550	89550
13	14	4	28861	28861
13	14	2	106192	106401
13	14	1	59102	59102
14	15	5	105800	105800
14	15	2	41714	41714
14	15	4	42023	42023
14	15	3	53127	32445
14	15	1	75950	75950
14	15	5	43834	43834
14	15	1	18879	18662
14	15	4	61045	61045
14	15	2	74281	73812
14	15	4	61045	61466
14	15	1	75949	75949
14	15	1	18879	18445
14	15	2	89038	89038
14	15	1	18879	18879
14	15	4	61045	61045
14	15	2	60542	60851
14	15	1	12460	12460
14	15	2	60203	60203
14	15	1	18662	18662
14	15	4	61466	61045
14	15	5	26334	25802
14	15	1	27192	27192
14	15	1	18879	18879
14	15	5	105800	105800
14	15	1	45493	45962
14	15	5	105800	105800
14	15	4	90146	89549
14	15	4	28644	28861
14	15	2	105806	106217
14	15	1	57909	57909
15	16	5	105800	105709
15	16	2	38712	38495
15	16	4	47895	47895
15	16	3	105600	0
15	16	1	76725	75950
15	16	5	44051	43834
15	16	1	18879	18879
15	16	4	50888	50579
15	16	2	76673	77142
